Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000107	Escherichia coli O157:H7 EDL933 (EHEC)	
Bacteria	Finished	637000110	Escherichia coli K12- W3110	
Bacteria	Finished	637000024	Bacteroides fragilis NCTC 9343	
Bacteria	Finished	637000025	Bacteroides fragilis YCH46	
Bacteria	Finished	637000026	Bacteroides thetaiotaomicron VPI-5482	
Bacteria	Finished	637000261	Shigella boydii sv. 4 Sb227	
Bacteria	Finished	637000263	Shigella flexneri sv. 2a 2457T	
Bacteria	Finished	637000264	Shigella flexneri sv. 2a 301	
Bacteria	Finished	637000265	Shigella flexneri sv. 5 8401	
Bacteria	Permanent Draft	638341239	Yersinia frederiksenii ATCC 33641	
Bacteria	Permanent Draft	638341240	Yersinia intermedia ATCC 29909	
Bacteria	Permanent Draft	638341241	Yersinia mollaretii ATCC 43969	
Bacteria	Permanent Draft	638341082	Escherichia coli 101-1	
Bacteria	Finished	638341084	Escherichia coli O111:NM B171 (EPEC2)	
Bacteria	Permanent Draft	638341085	Escherichia coli O148:H28 B7A (CS6:LT+:ST+)(ETEC)	
Bacteria	Finished	638341086	Escherichia coli O111:H9 E110019 (EPEC) GCA_000167875	
Bacteria	Permanent Draft	638341087	Escherichia coli E22 (EPEC)	
Bacteria	Finished	639633060	Candidatus Solibacter usitatus Ellin6076	
Bacteria	Finished	639633063	Syntrophobacter fumaroxidans MPOB	
Bacteria	Finished	640069335	Yersinia enterocolitica enterocolitica sv. 0:08 8081	
Bacteria	Finished	640427143	Shigella sonnei Ss046	
Bacteria	Finished	640753008	Bacteroides vulgatus ATCC 8482	
Bacteria	Finished	640753025	Escherichia coli sv. O9 HS	
Bacteria	Permanent Draft	640963023	Bacteroides caccae ATCC 43185	
Bacteria	Finished	641228505	Salmonella enterica arizonae sv. 62:z4,z23 RSK2980	
Bacteria	Permanent Draft	641380447	Bacteroides uniformis ATCC 8492	
Bacteria	Permanent Draft	641380449	Bacteroides ovatus ATCC 8483	
Bacteria	Finished	641522623	Escherichia coli C ATCC 8739	
Bacteria	Finished	641522624	Escherichia coli SECEC SMS-3-5	
Bacteria	Permanent Draft	641736116	Escherichia coli O157:H7 EC4401	
Bacteria	Permanent Draft	641736163	Escherichia albertii TW07627	
Bacteria	Permanent Draft	641736196	Bacteroides stercoris ATCC 43183	
Bacteria	Permanent Draft	641736214	Escherichia coli O157:H7 EC4196	
Bacteria	Permanent Draft	641736220	Escherichia coli O157:H7 EC4076	
Bacteria	Permanent Draft	641736221	Escherichia coli O157:H7 EC4113	
Bacteria	Permanent Draft	641736222	Escherichia coli O157:H7 EC4486	
Bacteria	Permanent Draft	641736225	Escherichia coli O157:H7 EC4501	
Bacteria	Permanent Draft	641736226	Escherichia coli O157:H7 EC508	
Bacteria	Finished	642555104	Akkermansia muciniphila ATCC BAA-835	
Bacteria	Permanent Draft	642791613	Phocaeicola coprocola DSM 17136	
Bacteria	Permanent Draft	642791621	Bacteroides intestinalis 341, DSM 17393	
Bacteria	Permanent Draft	642791630	Escherichia coli O157:H7 EC4024	
Bacteria	Finished	643348544	Escherichia coli 55989	
Bacteria	Finished	643348546	Escherichia coli IAI1	
Bacteria	Finished	643348547	Escherichia coli IAI39	
Bacteria	Finished	643348549	Escherichia coli O157:H7 EC4115	
Bacteria	Finished	643348551	Escherichia coli SE11	
Bacteria	Permanent Draft	642979322	Escherichia coli O157:H7 TW14588	
Bacteria	Permanent Draft	642979334	Bacteroides eggerthii DSM 20697	
